name,size,quantity,thickness,method,delivery_company
SHB 20-1,200X180X130,0,B,슬로터,한진
SHB 20-2,200X130X130,0,B,슬로터,한진
SHB 20-3,200X200X300,0,B,슬로터,한진
SHB 21-3,200X175X110,0,B,슬로터,한진
SHB 22-1,210X220X230,0,B,슬로터,한진
SHB 23-10,220X170X160,0,B,슬로터,한진
SHB 24-1,230X200X130,0,B,슬로터,한진
SHB 24-2,240X180X150,0,B,슬로터,한진
SHB 24-8,240X160X150,0,B,슬로터,한진
SHB 24-9,240X200X120,0,B,슬로터,한진
SHB 25-1,240X190X120,0,B,슬로터,한진
SHB 25-2,250X200X150,0,B,슬로터,한진
SHB 25-7,250X170X150,0,B,슬로터,한진
SHB 25-12,250X200X100,0,B,슬로터,한진
SHB 25-13,250X210X120,0,B,슬로터,한진
SHB 25-15,250X230X150,0,B,슬로터,한진
SHB 26-1,250X100X105,0,B,슬로터,한진
SHB 26-7,260X180X150,0,B,슬로터,한진
SHB 27-1,260X200X180,0,B,슬로터,한진
SHB 27-7,270X200X120,0,B,슬로터,한진
SHB 28-1,270X180X130,0,B,슬로터,한진
SHB 28-2,280X210X180,0,B,슬로터,한진
SHB 30-1,280X200X150,0,B,슬로터,한진
SHB 30-2,300X300X250,0,B,슬로터,한진
SHB 30-3,300X275X215,0,A,슬로터,한진
SHB 30-13,305X200X120,0,B,슬로터,한진
SHB 30-14,300X200X160,0,B,슬로터,한진
SHB 30-21,300X260X260,0,B,슬로터,한진
SHB 31-1,300X220X260,0,B,슬로터,한진
SHB 31-8,310X220X100,0,B,슬로터,한진
SHB 31-10,310X220X170,0,B,슬로터,한진
SHB 32-1,310X230X200,0,B,슬로터,한진
SHB 33-1,320X220X120,0,B,슬로터,한진
SHB 33-5,330X220X160,0,B,슬로터,한진
SHB 33-8,330X230X130,0,B,슬로터,한진
SHB 34-1,330X260X200,0,B,슬로터,한진
SHB 34-10,340X260X130,0,B,슬로터,한진
SHB 34-11,340X260X150,0,B,슬로터,한진
SHB 35-1,340X305X300,0,B,슬로터,한진
SHB 35-2,350X250X220,0,B,슬로터,한진
SHB 35-10,350X250X140,0,B,슬로터,한진
SHB 35-16,350X270X180,0,B,슬로터,한진
SHB 37-1,350X250X260,0,B,슬로터,한진
SHB 37-8,370X350X260,0,B,슬로터,한진
SHB 38-7,370X260X160,0,B,슬로터,한진
SHB 39-1,380X280X250,0,B,슬로터,한진
SHB 40-1,390X250X150,0,B,슬로터,한진
SHB 40-2,400X250X200,0,B,슬로터,한진
SHB 40-7,400X270X320,0,B,슬로터,한진
SHB 40-9,400X300X100,0,B,슬로터,한진
SHB 40-15,400X310X310,0,B,슬로터,한진
SHB 40-17,400X320X300,0,B,슬로터,한진
SHB 41-1,400X290X260,0,B,슬로터,한진
SHB 44-1,410X310X280,0,B,슬로터,한진
SHB 44-2,440X240X150,0,B,슬로터,한진
SHB 45-1,440X320X210,0,B,슬로터,한진
SHB 45-2,450X320X254,0,B,슬로터,한진
SHB 45-7,450X320X100,0,B,슬로터,한진
SHB 46-1,450X350X170,0,B,슬로터,한진
SHB 46-2,460X350X110,0,B,슬로터,한진
SHB 47-1,460X330X300,0,B,슬로터,한진
SHB 47-2,470X360X110,0,A,슬로터,한진
SHB 48-1,470X270X250,0,B,슬로터,한진
SHB 48-4,480X370X340,0,AB,슬로터,한진
SHB 50-11,480X400X300,0,B,슬로터,한진
SHB 60-4,500X400X150,0,A,슬로터,한진
SHB 68-1,600X230X130,0,B,슬로터,한진
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
